Country,Currency,Currency code,Currency units per £1 ,Start date,End date,,
Trinidad/Tobago,Dollar,TTD,10.3025,01/10/2014,31/10/2014,,
Tunisia,Dinar,TND,2.8678,01/10/2014,31/10/2014,,
Turkey,Turkish Lira,TRY,3.59,01/10/2014,31/10/2014,,
Turkmenistan,New Manat,TMT,4.6172,01/10/2014,31/10/2014,,
UAE,Dirham,AED,5.961,01/10/2014,31/10/2014,,
Uganda,Schilling,UGX,4235.77,01/10/2014,31/10/2014,,
Ukraine,Hryvnia,UAH,21.06,01/10/2014,07/10/2014,,
Ukraine,Hryvnia,UAH,20.9548,08/10/2014,31/10/2014,,
Uruguay,Peso,UYU,39.3391,01/10/2014,31/10/2014,,
USA,Dollar,USD,1.6325,01/10/2014,31/10/2014,,
Uzbekistan,Sum,UZS,3823.05,01/10/2014,31/10/2014,,
Vanuatu,Vatu,VUV,158.209,01/10/2014,31/10/2014,,
Venezuela,Bolivar Fuerte,VEF,18.988,01/10/2014,31/10/2014,,
Vietnam,Dong,VND,34405.5,01/10/2014,31/10/2014,,
Wallis & Futuna Islands,CFP Franc,XPF,149.686,01/10/2014,31/10/2014,,
Western Samoa,Tala,WST,3.8031,01/10/2014,31/10/2014,,
Yemen,Rial,YER,348.924,01/10/2014,31/10/2014,,
Zambia,Kwacha,ZMK,10.0133,01/10/2014,31/10/2014,,
Zimbabwe,Dollar,ZWL,613.456,01/10/2014,31/10/2014,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
